location,events,query,lat,lon,geo_precision,country,display_name,note,manual
"Aberdeen, SCT",13,"Aberdeen, Scotland, UK",57.1482429,-2.0928095,town,UK,"Aberdeen City, Alba / Scotland, United Kingdom",,FALSE
"Albany, NY",2,"Albany, New York, USA",42.6511674,-73.7549680,town,USA,"City of Albany, Albany County, New York, United States",,FALSE
"Altoona, PA",1,"Altoona, Pennsylvania, USA",40.5193586,-78.3968299,town,USA,"Altoona, Blair County, Pennsylvania, United States",,FALSE
"Amesbury, MA",1,"Amesbury, Massachusetts, USA",42.8579536,-70.9300921,town,USA,"Amesbury, Essex County, Massachusetts, 01913, United States",,FALSE
"Andover, MA",1,"Andover, Massachusetts, USA",42.6571700,-71.1408776,town,USA,"Andover, Essex County, Massachusetts, United States",,FALSE
"Anerley, London",1,"Anerley, London, England, UK",51.4088267,-0.0611263,town,UK,"Anerley, London Borough of Bromley, Greater London, England, SE20 8TJ, United Kingdom",,FALSE
"Ann Arbor, MI",2,"Ann Arbor, Michigan, USA",42.2813722,-83.7484616,town,USA,"Ann Arbor, Washtenaw County, Michigan, United States",,FALSE
"Auburn, NY",1,"Auburn, New York, USA",42.9320202,-76.5672029,town,USA,"City of Auburn, Cayuga County, New York, 13021, United States",,FALSE
"Baltimore, MD",1,"Baltimore, Maryland, USA",39.2908816,-76.6107590,town,USA,"Baltimore, Maryland, United States",,FALSE
"Banff, SCT",1,"Banff, Scotland, UK",57.6645459,-2.5217539,town,UK,"Banff, Aberdeenshire, Alba / Scotland, AB45 1AY, United Kingdom",,FALSE
Barrow,1,"Barrow-in-Furness, England, UK",54.1288796,-3.2269008,town,UK,"Barrow-in-Furness, Newton-in-Furness, Westmorland and Furness, England, United Kingdom",,FALSE
Bath,3,"Bath, England, UK",51.3813864,-2.3596963,town,UK,"Bath, Bath and North East Somerset, West of England, England, United Kingdom",,FALSE
Bedford,3,"Bedford, England, UK",52.1363806,-0.4675041,town,UK,"Bedford, England, MK40 1SU, United Kingdom",,FALSE
"Bedford Park, Chiswick",1,"Bedford Park, London, United Kingdom",51.4982412,-0.2557924,town,UK,"Bedford Park, London Borough of Ealing, Greater London, England, United Kingdom","the garden suburb in Chiswick; OSM holds it as a residential area, not a settlement",FALSE
Bedwell Park,2,"Essendon, Hertfordshire, England, UK",51.7620735,-0.1629120,town,UK,"Essendon, Welwyn Hatfield, Hertfordshire, England, United Kingdom",Bedwell Park is the estate at Essendon,FALSE
"Belfast, IRL",5,"Belfast, Ireland",54.5963910,-5.9301829,town,Ireland,"Belfast City District, County Antrim, Northern Ireland / Tuaisceart Éireann, United Kingdom",,FALSE
"Belgravia, London",1,"Belgravia, London, England, UK",51.4982128,-0.1534998,town,UK,"Belgravia, City of Westminster, Greater London, England, SW1X 8QA, United Kingdom",,FALSE
Ben Rhydding,1,"Ben Rhydding, Ilkley, England, UK",53.9236684,-1.7977037,town,UK,"Ben Rhydding, Ilkley, Bradford, West Yorkshire, England, LS29 8PP, United Kingdom","sources also have ""Ben Rydding""",FALSE
Birmingham,14,"Birmingham, England, UK",52.4948994,-1.8518439,town,UK,"Birmingham, West Midlands, England, United Kingdom",,FALSE
"Bishop Auckland, SCT",1,"Bishop Auckland, County Durham, England, UK",54.6640762,-1.6752864,town,UK,"Bishop Auckland, County Durham, North East, England, United Kingdom","the article marks this SCT, but Bishop Auckland is in County Durham, England",FALSE
Blackheath,1,"Blackheath, England, UK",51.4662623,0.0086810,town,UK,"Blackheath, London Borough of Lewisham, Greater London, England, SE3 0DE, United Kingdom",,FALSE
"Blackheath, London",1,"Blackheath, London, England, UK",51.4662623,0.0086810,town,UK,"Blackheath, London Borough of Lewisham, Greater London, England, SE3 0DE, United Kingdom",,FALSE
"Bloomsbury, London",2,"Bloomsbury, London, England, UK",51.5210963,-0.1289635,town,UK,"Bloomsbury, London Borough of Camden, Greater London, England, WC1E 7HU, United Kingdom",,FALSE
