title,group,work,note
[Burns],Burns,(unspecified),
[Hood],Hood,(unspecified),
[Macbeth],Shakespeare,Macbeth,
[Pilgrim’s Progress 2],Bunyan,"Pilgrim’s Progress, Part 2",
[Uncertain],Unknown,(unknown),"the published PDF prints the title as a bare ""s"""
A Midsummer Night’s Dream,Shakespeare,A Midsummer Night’s Dream,
As You Like It,Shakespeare,As You Like It,
Browning,Browning,(unspecified),
Burns,Burns,(unspecified),
Burns Society Dinner,Occasional addresses,Burns Society dinner,
Byron,Byron,(unspecified),
"Cinderella, Beauty and the Beast",Family entertainments,Cinderella,
"Cinderella, Beauty and the Beast",Family entertainments,Beauty and the Beast,
Coleridge,Coleridge,(unspecified),
Coleridge’s Rime of the Ancient Mariner,Coleridge,The Rime of the Ancient Mariner,
Contemporary Authors,Survey lectures,Contemporary poets,
Contemporary Poets,Survey lectures,Contemporary poets,
Dante,Dante,(unspecified),
Drama before Shakespeare,Survey lectures,Sixteenth-century drama,"filed under survey lectures, not Shakespeare — it is about what came before him"
Elizabeth Barrett Browning,E. B. Browning,(unspecified),
Elizabethan Literature,Survey lectures,Elizabethan literature,
Elizabethan Poets [Edmund Spenser],Spenser,(unspecified),
English Literature,Survey lectures,English literature,
English Literature and Language,Survey lectures,English literature,
"English Literature, Physical Science, Natural Philosophy, Mathematics",Survey lectures,English literature,
"English Literature, Physical Science, Natural Philosophy, Mathematics",Science & mathematics,Physical science,
"English Literature, Physical Science, Natural Philosophy, Mathematics",Science & mathematics,Natural philosophy,
"English Literature, Physical Science, Natural Philosophy, Mathematics",Science & mathematics,Mathematics,
Geoffrey Chaucer,Chaucer,(unspecified),
Hamlet,Shakespeare,Hamlet,
Hamlet and Brutus,Shakespeare,Hamlet,
Hamlet and Brutus,Shakespeare,Julius Caesar,
Henry the Fourth,Shakespeare,Henry IV,
Hood,Hood,(unspecified),
Illustrated Proverbs,Family entertainments,Illustrated Proverbs,
Imagination,Survey lectures,Imagination,
Inaugural Address,Occasional addresses,Inaugural address,
Individual Development,Survey lectures,Individual development,
John Donne,Donne,(unspecified),
John Keats,Keats,(unspecified),
Julius Caesar,Shakespeare,Julius Caesar,
Keats,Keats,(unspecified),
King Henry IV,Shakespeare,Henry IV,
