No.,Year,Date,Type,Title,Location,Details,date_start,date_end,date_likely,date_precision,date_certain,date_note,categories,type_inferred,cancelled,subject_groups,subjects,lat,lon,geo_precision
1,1854,[Fall],Lectures,"English Literature, Physical Science, Natural Philosophy, Mathematics",Manchester,Manchester Ladies’ College (GMW 216-18).,1854-09-01,1854-11-30,,season,FALSE,,lecture,FALSE,FALSE,Survey lectures|Science & mathematics|Science & mathematics|Science & mathematics,English literature|Physical science|Natural philosophy|Mathematics,53.4424618,-2.2324547,town
2,1854,November 10,Lecture,Elizabethan Literature,Manchester,"3 Camp Terrace, Lower Broughton, MacDonald’s residence; first of twelve lectures for women (Manchester Times, November 4, 1854, 1, 4: BNA).",1854-11-10,1854-11-10,,day,TRUE,,lecture,FALSE,FALSE,Survey lectures,Elizabethan literature,53.4424618,-2.2324547,town
3,1855,January-March,Lectures,Natural Philosophy,Manchester,"Ladies’ College; course of lectures during Lent Term (Manchester Courier and Lancashire General Advertiser, December 23, 1854, 1; Manchester Times, December 23, 1854, 8: both BNA).",1855-01-01,1855-03-31,,month_range,FALSE,,lecture,FALSE,FALSE,Science & mathematics,Natural philosophy,53.4424618,-2.2324547,town
4,1855,February,Lectures,unknown,Manchester,"MacDonald’s residence; “two courses of lectures—one for ladies in morning, the other for anyone in evening” (Expression 83-84).",1855-02-01,1855-02-28,,month,FALSE,,lecture,FALSE,FALSE,Unknown,(unknown),53.4424618,-2.2324547,town
5,1855,March 16,Lecture,Shakespeare,Manchester,"3 Camp Terrace, Lower Broughton, MacDonald’s residence; first in a twelve-lecture course on Shakespeare (Manchester Times, March 10, 1855, 1, 5: BNA).",1855-03-16,1855-03-16,,day,TRUE,,lecture,FALSE,FALSE,Shakespeare,(unspecified),53.4424618,-2.2324547,town
6,1855,March [21],Lecture,Contemporary Poets,Manchester,"3 Camp Terrace, Lower Broughton, MacDonald’s residence; first in a twelve-lecture course for women on “Poets of the Present Century” (Manchester Times, March 10, 1855, 1: BNA).",1855-03-21,1855-03-21,,day,FALSE,,lecture,FALSE,FALSE,Survey lectures,Contemporary poets,53.4424618,-2.2324547,town
7,1855,[Spring],Lecture,William Wordsworth,Manchester,May be part of “Poets of the Present Century” lecture course; attended by Hannah Pipe (Pipe 48-49).,1855-03-01,1855-05-31,,season,FALSE,,lecture,FALSE,FALSE,Wordsworth,(unspecified),53.4424618,-2.2324547,town
8,1855,[August],Lectures,unknown,Manchester,[Ladies’ College]; MacDonald refers to “my lectures” in letter to father; perhaps identical with #9 (Expression 100).,1855-08-01,1855-08-31,,month,FALSE,,lecture,FALSE,FALSE,Unknown,(unknown),53.4424618,-2.2324547,town
9,1855,September 3,Lectures,Natural Philosophy and Mathematics,Manchester,"Ladies’ College; course of lectures during Michelmas Term (Manchester Times, August 18, 1855, 2: BNA).",1855-09-03,1855-09-03,,day,TRUE,,lecture,FALSE,FALSE,Science & mathematics|Science & mathematics,Natural philosophy|Mathematics,53.4424618,-2.2324547,town
10,1858,[1858-1859],Lectures,Shakespeare’s Plays,Clapham,Laleham Lodge School for Girls; a series in replacement of Dr. Nicolai (Pipe 65-66).,1858-01-01,1859-12-31,,year_range,FALSE,,lecture,FALSE,FALSE,Shakespeare,(unspecified),51.4614469,-0.1386270,town
11,1858,[April/May],Lectures,English Literature,"Huntly, SCT",Huntly Cottage drawing room (GMW 291).,1858-04-01,1858-05-31,,month_range,FALSE,,lecture,FALSE,FALSE,Survey lectures,English literature,57.4474806,-2.7864246,town
12,1858,[May],Lectures,unknown,London,Unknown; eight lectures given before May 17 (Expression 126).,1858-05-01,1858-05-31,,month,FALSE,,lecture,FALSE,FALSE,Unknown,(unknown),51.5074456,-0.1277653,town
13,1858,[June],Lectures,unknown,London,Unknown; GM refers to “lectures for another few weeks” (GMW 292).,1858-06-01,1858-06-30,,month,FALSE,,lecture,FALSE,FALSE,Unknown,(unknown),51.5074456,-0.1277653,town
14,1859,January 13,Lecture,Elizabethan Poets [Edmund Spenser],London,"Theatre of London Institution; first in a series of four “delivered on Thursday last” (Banffshire Journal and General Advertiser, January 18, 1859, 5; Morning Chronicle, November 15, 1858, 1: both BNA).",1859-01-13,1859-01-13,,day,TRUE,,lecture,FALSE,FALSE,Spenser,(unspecified),51.5074456,-0.1277653,town
15,1859,January 27,Lecture,Sixteenth-Century Poetry,London,"Theatre of London Institution; second in a series of four (Morning Chronicle, November 15, 1858, 1: BNA).",1859-01-27,1859-01-27,,day,TRUE,,lecture,FALSE,FALSE,Survey lectures,Sixteenth-century poetry,51.5074456,-0.1277653,town
